Team Name,Wins,Losses,Result,Division,Tournament
Rogue,7,0,1,Expert,clubspike3
GFD,7,1,2,Expert,clubspike3
GFD Evasive Maneuvers,7,1,3,Expert,clubspike3
ClubSpike Big Slick,5,3,4,Expert,clubspike3
Goat Boat Moat...,4,3,5,Expert,clubspike3
Basketball Purity,4,2,6,Expert,clubspike3
Super Awesome Spikers,2,4,6,Expert,clubspike3
Beard/Broekema,4,3,6,Expert,clubspike3
Revised Tweenie Hut Jr's,4,4,9,Expert,clubspike3
Ambisinistrous,3,5,10,Expert,clubspike3
Sebring / Zapata,2,5,11,Expert,clubspike3
Split Decision,2,4,11,Expert,clubspike3
bit.ly/T-Hamm-Ez,1,5,13,Expert,clubspike3
Broke Back Boys,0,6,14,Expert,clubspike3
Semke/Priller,0,6,14,Expert,clubspike3
Sons of Kenneth,7,0,1,Contender,clubspike3
Reverse Cutlery,7,1,2,Contender,clubspike3
Kenny and Alex,6,2,3,Contender,clubspike3
Presidential,6,2,4,Contender,clubspike3
Butt Munchers,5,3,5,Contender,clubspike3
Dumb Blondes,4,4,6,Contender,clubspike3
Yellow Bears,3,5,7,Contender,clubspike3
Miracle Whiff,3,5,8,Contender,clubspike3
Booth Boys,5,3,9,Contender,clubspike3
Lanky and Shanky,4,4,10,Contender,clubspike3
No Faults,1,6,11,Contender,clubspike3
knullpojkar,2,4,11,Contender,clubspike3
textbook,0,6,13,Contender,clubspike3
Goons,0,6,14,Contender,clubspike3
Walter Pinkman,2,4,14,Contender,clubspike3
Advanced 4.0 / Contender,0,0,0,Free Agents (Free to register),clubspike3
Contender,0,0,0,Free Agents (Free to register),clubspike3
Contender,0,0,0,Free Agents (Free to register),clubspike3
Contender,0,0,0,Free Agents (Free to register),clubspike3
Contender - Just for the discount,0,0,0,Free Agents (Free to register),clubspike3
Expert,0,0,0,Free Agents (Free to register),clubspike3
Expert,0,0,0,Free Agents (Free to register),clubspike3
Expert 4.5,0,0,0,Free Agents (Free to register),clubspike3
Just cashing in on cheaper price,0,0,0,Free Agents (Free to register),clubspike3
Open 2692456399,0,0,0,Free Agents (Free to register),clubspike3
Premier,0,0,0,Free Agents (Free to register),clubspike3
Women’s Expert/Contender,0,0,0,Free Agents (Free to register),clubspike3
