Team Name,Wins,Losses,Result,Division,Tournament
Buck Fifty,9,0,1,Expert(4.5),mrachicago23
Broekema/Hamilton,7,1,2,Expert(4.5),mrachicago23
Illuminasian,6,2,3,Expert(4.5),mrachicago23
The Diamond Dogs,6,2,4,Expert(4.5),mrachicago23
Primal,6,3,5,Expert(4.5),mrachicago23
Fiebelkorn/Quispe,5,3,6,Expert(4.5),mrachicago23
Scrub Daddy,4,3,7,Expert(4.5),mrachicago23
ClubSpike Super Saiyans,5,2,7,Expert(4.5),mrachicago23
No skin andys,5,3,9,Expert(4.5),mrachicago23
kyle & some other guy,3,3,10,Expert(4.5),mrachicago23
Spike Bros,4,3,10,Expert(4.5),mrachicago23
Ryan Squared,2,6,10,Expert(4.5),mrachicago23
Scholz/Senapati,2,6,13,Expert(4.5),mrachicago23
Wrap Gods,2,5,13,Expert(4.5),mrachicago23
Web of Aces,2,5,13,Expert(4.5),mrachicago23
Serve no receive,2,5,13,Expert(4.5),mrachicago23
Clark/Perez,4,4,17,Expert(4.5),mrachicago23
C Team Dream,2,5,18,Expert(4.5),mrachicago23
What the flick?,1,5,19,Expert(4.5),mrachicago23
Sloppy Spikers,1,5,19,Expert(4.5),mrachicago23
Lord of the Rims,0,7,21,Expert(4.5),mrachicago23
The Greathouse's,7,0,1,Advanced/Intermediate(3.0-4.0),mrachicago23
Aced and Red Pilled,6,1,2,Advanced/Intermediate(3.0-4.0),mrachicago23
"No Rights, Just Lefts",5,2,3,Advanced/Intermediate(3.0-4.0),mrachicago23
the Czechs,3,4,4,Advanced/Intermediate(3.0-4.0),mrachicago23
knullpojkar,2,3,5,Advanced/Intermediate(3.0-4.0),mrachicago23
Rim job,2,4,5,Advanced/Intermediate(3.0-4.0),mrachicago23
Gate,2,3,5,Advanced/Intermediate(3.0-4.0),mrachicago23
$1 McChicken,2,4,5,Advanced/Intermediate(3.0-4.0),mrachicago23
Attack on Spike,1,4,9,Advanced/Intermediate(3.0-4.0),mrachicago23
It’s Our Turn,0,5,9,Advanced/Intermediate(3.0-4.0),mrachicago23
