Team Name,Wins,Losses,Result,Division,Tournament
ClubSpike Big Slick,9,0,1,Expert,wisconsin2023
Beard/Broekema,7,2,2,Expert,wisconsin2023
Lanky Smoove,7,2,3,Expert,wisconsin2023
Puzzles,7,2,4,Expert,wisconsin2023
Cookin Curry,2,6,5,Expert,wisconsin2023
Semke/Zapata,3,5,5,Expert,wisconsin2023
No skin andys,5,3,5,Expert,wisconsin2023
What the flick?,2,6,5,Expert,wisconsin2023
Tater Bots,2,6,9,Expert,wisconsin2023
3rd and 4th pick,1,6,10,Expert,wisconsin2023
Micah Spikeball,4,3,10,Expert,wisconsin2023
Happy Campers,0,8,10,Expert,wisconsin2023
Visual Hinder,8,1,1,Advanced,wisconsin2023
The bread bandits,7,2,2,Advanced,wisconsin2023
textbook,7,2,3,Advanced,wisconsin2023
Sams Club,5,4,4,Advanced,wisconsin2023
Blueberry Fwango,2,5,5,Advanced,wisconsin2023
Munchkins,1,6,5,Advanced,wisconsin2023
Team Clow,2,5,5,Advanced,wisconsin2023
Dominos Drip,0,7,5,Advanced,wisconsin2023
