Team Name,Wins,Losses,Result,Division,Tournament
BOT O-Squared,5,2,0,Expert (4.5-5.0+),chattanooga2023
BOT Spins.pdf,7,0,0,Expert (4.5-5.0+),chattanooga2023
Chicken Sharma,6,1,0,Expert (4.5-5.0+),chattanooga2023
Goldman Stacks,1,5,0,Expert (4.5-5.0+),chattanooga2023
GooDonCo,2,4,0,Expert (4.5-5.0+),chattanooga2023
Lefty Drops Only,3,4,0,Expert (4.5-5.0+),chattanooga2023
SuperSets,3,2,0,Expert (4.5-5.0+),chattanooga2023
Those Guys,2,4,0,Expert (4.5-5.0+),chattanooga2023
Touch and Go,0,6,0,Expert (4.5-5.0+),chattanooga2023
Ugly Barnacles,2,3,0,Expert (4.5-5.0+),chattanooga2023
