Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Spy Kids 5: Return to Mysterious Island,Sisk/Yoder,Round of 32,clemsonts2023,[1],[2],Expert (4.5-5.0+)
Sports and Brycen,No Allie-by,Round of 32,clemsonts2023,[2],[0],Expert (4.5-5.0+)
LBP,Them Dawgs is Hell,Round of 32,clemsonts2023,[2],[0],Expert (4.5-5.0+)
Shredders,An Educated Elephant,Round of 32,clemsonts2023,[2],[1],Expert (4.5-5.0+)
Bot House,Sisk/Yoder,Round of 16,clemsonts2023,[2],[0],Expert (4.5-5.0+)
Sports and Brycen,Bev’d up,Round of 16,clemsonts2023,[0],[2],Expert (4.5-5.0+)
Pretzel Day,LBP,Round of 16,clemsonts2023,[2],[1],Expert (4.5-5.0+)
Shredders,Marino’s Mistress,Round of 16,clemsonts2023,[0],[2],Expert (4.5-5.0+)
Bot House,Bev’d up,Quarter-finals,clemsonts2023,[2],[1],Expert (4.5-5.0+)
Pretzel Day,Marino’s Mistress,Quarter-finals,clemsonts2023,[0],[2],Expert (4.5-5.0+)
Bot House,Marino’s Mistress,Semi-finals,clemsonts2023,[1],[2],Expert (4.5-5.0+)
TRP Dolphin Dive,Pick Pockets,Final,clemsonts2023,[2],[0],Expert (4.5-5.0+)
TRP Dolphin Dive,Presidential Thingz,1st place,clemsonts2023,[2],[0],Expert (4.5-5.0+)
Dennis & Demitri,Pick Pockets,1st place,clemsonts2023,[1],[2],Expert (4.5-5.0+)
TRP Dolphin Dive,B-Olivia,3rd place,clemsonts2023,[2],[0],Expert (4.5-5.0+)
Muhammad Curry,Presidential Thingz,3rd place,clemsonts2023,[0],[2],Expert (4.5-5.0+)
Dennis & Demitri,dumpyyyy,3rd place,clemsonts2023,[2],[0],Expert (4.5-5.0+)
Spicky Chicky Bicky,Pick Pockets,3rd place,clemsonts2023,[0],[2],Expert (4.5-5.0+)
B-Olivia,Tim & Greg,Semi-finals,clemsonts2023,[2],[0],Expert (4.5-5.0+)
Muhammad Curry,Big Nutz LLC,Semi-finals,clemsonts2023,[2],[0],Expert (4.5-5.0+)
dumpyyyy,The Bachelors,Semi-finals,clemsonts2023,[2],[1],Expert (4.5-5.0+)
Spicky Chicky Bicky,Dotdotslash,Semi-finals,clemsonts2023,[2],[1],Expert (4.5-5.0+)
Pretzel Day,Bev’d up,P5: Semi-finals,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Dennis & Demitri,Presidential Thingz,P5: Final,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Sports and Brycen,Sisk/Yoder,P9: Quarter-finals,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Shredders,LBP,P9: Quarter-finals,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Muhammad Curry,B-Olivia,9th place,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Spicky Chicky Bicky,dumpyyyy,9th place,clemsonts2023,[19],[21],Expert (4.5-5.0+)
Spy Kids 5: Return to Mysterious Island,No Allie-by,P17: Quarter-finals,clemsonts2023,[10],[21],Expert (4.5-5.0+)
Them Dawgs is Hell,An Educated Elephant,P17: Quarter-finals,clemsonts2023,[0],[2],Expert (4.5-5.0+)
No Allie-by,An Educated Elephant,P17: Semi-finals,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Tim & Greg,The Bachelors,P17: Final,clemsonts2023,[1],[2],Expert (4.5-5.0+)
Tim & Greg,Big Nutz LLC,17th place,clemsonts2023,[2],[0],Expert (4.5-5.0+)
The Bachelors,Dotdotslash,17th place,clemsonts2023,[2],[0],Expert (4.5-5.0+)
Them Dawgs is Hell,Spy Kids 5: Return to Mysterious Island,P21: Semi-finals,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Dotdotslash,Big Nutz LLC,P21: Final,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Them Dawgs is Hell,Spy Kids 5: Return to Mysterious Island,P21: Semi-finals,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Dotdotslash,Big Nutz LLC,P21: Final,clemsonts2023,[-1],[-1],Expert (4.5-5.0+)
Waffle Warriors,Spike’s Hard Lemonade,Round of 32,clemsonts2023,"[14, 12]","[16, 15]",Contenders (4.0)
Barber Shop,midwest superiority,Round of 32,clemsonts2023,"[17, 15]","[15, 10]",Contenders (4.0)
Guajillo Steak,Scoregasm,Round of 32,clemsonts2023,"[15, 15]","[7, 13]",Contenders (4.0)
Micro-Soft Office,Clemson Orange,Round of 32,clemsonts2023,"[0, 1, 1]","[1, 0, 0]",Contenders (4.0)
Slawbunnies,Clemson Dragons,Round of 32,clemsonts2023,"[15, 13, 15]","[12, 15, 13]",Contenders (4.0)
Sicko Mode,Spike’s Hard Lemonade,Round of 16,clemsonts2023,"[21, 21]","[17, 14]",Contenders (4.0)
Barber Shop,Guajillo Steak,Round of 16,clemsonts2023,"[21, 21]","[8, 13]",Contenders (4.0)
Shot Clock,Micro-Soft Office,Round of 16,clemsonts2023,"[21, 21]","[19, 16]",Contenders (4.0)
Slawbunnies,Peach Tea and Dr. P,Round of 16,clemsonts2023,"[9, 13]","[21, 21]",Contenders (4.0)
Sicko Mode,Barber Shop,Quarter-finals,clemsonts2023,"[21, 21]","[14, 16]",Contenders (4.0)
Shot Clock,Peach Tea and Dr. P,Quarter-finals,clemsonts2023,"[21, 21]","[19, 18]",Contenders (4.0)
Sicko Mode,Shot Clock,Semi-finals,clemsonts2023,"[22, 21]","[20, 18]",Contenders (4.0)
How I Set Your Mother,Taj ma balls,Final,clemsonts2023,"[21, 16, 6]","[16, 21, 15]",Contenders (4.0)
