Team Name,Wins,Losses,Result,Division,Tournament
Belk,5,3,0,Expert (4.5-5.0+),columbia2023
Birthday Spankings,1,7,0,Expert (4.5-5.0+),columbia2023
BOT Mattress Pad,7,2,0,Expert (4.5-5.0+),columbia2023
Casual Aliens,4,5,0,Expert (4.5-5.0+),columbia2023
Glizzy Boost,7,1,0,Expert (4.5-5.0+),columbia2023
No Idea,2,5,0,Expert (4.5-5.0+),columbia2023
Too Easy,3,6,0,Expert (4.5-5.0+),columbia2023
Ballbarians,4,2,0,Contenders (4.0),columbia2023
Ballers,2,4,0,Contenders (4.0),columbia2023
Consumers,0,6,0,Contenders (4.0),columbia2023
Everything Bagels,2,4,0,Contenders (4.0),columbia2023
Executive Spikes,3,3,0,Contenders (4.0),columbia2023
Nefarious,7,0,0,Contenders (4.0),columbia2023
Remy Action,0,0,0,Contenders (4.0),columbia2023
Spike and Ikes,6,2,0,Contenders (4.0),columbia2023
Stranger Danger,2,5,0,Contenders (4.0),columbia2023
Summers/Hoyt,5,3,0,Contenders (4.0),columbia2023
University of South Carolina,5,2,0,Contenders (4.0),columbia2023
Wrappers Delight,1,6,0,Contenders (4.0),columbia2023
Jeesh,0,0,0,Coed,columbia2023
