Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Too Easy,No Idea,Quarter-finals,columbia2023,[2],[1],Expert (4.5-5.0+)
Glizzy Boost,Too Easy,Semi-finals,columbia2023,[2],[1],Expert (4.5-5.0+)
BOT Mattress Pad,Casual Aliens,Final,columbia2023,[2],[0],Expert (4.5-5.0+)
BOT Mattress Pad,Birthday Spankings,1st place,columbia2023,[2],[0],Expert (4.5-5.0+)
Belk,Casual Aliens,1st place,columbia2023,[167],[169],Expert (4.5-5.0+)
Belk,Birthday Spankings,P5: Final,columbia2023,[1],[0],Expert (4.5-5.0+)
Belk,Birthday Spankings,P5: Final,columbia2023,[1],[0],Expert (4.5-5.0+)
Everything Bagels,Stranger Danger,Round of 16,columbia2023,"[15, 17]","[21, 21]",Contenders (4.0)
Nefarious,Stranger Danger,Quarter-finals,columbia2023,"[21, 21]","[16, 13]",Contenders (4.0)
Ballbarians,Executive Spikes,Quarter-finals,columbia2023,"[1, 0, 1]","[0, 1, 0]",Contenders (4.0)
Nefarious,Ballbarians,Semi-finals,columbia2023,"[21, 21]","[10, 12]",Contenders (4.0)
University of South Carolina,Spike and Ikes,Final,columbia2023,"[1, 0, 0]","[0, 1, 1]",Contenders (4.0)
University of South Carolina,Wrappers Delight,1st place,columbia2023,"[21, 21]","[17, 15]",Contenders (4.0)
Spike and Ikes,Summers/Hoyt,1st place,columbia2023,"[0, 1, 1]","[1, 0, 0]",Contenders (4.0)
Ballers,Wrappers Delight,3rd place,columbia2023,"[0, 1, 0]","[1, 0, 1]",Contenders (4.0)
Summers/Hoyt,Consumers,3rd place,columbia2023,"[1, 1]","[0, 0]",Contenders (4.0)
Executive Spikes,Stranger Danger,P5: Semi-finals,columbia2023,"[1, 1]","[0, 0]",Contenders (4.0)
Summers/Hoyt,Wrappers Delight,P5: Final,columbia2023,"[1, 1]","[0, 0]",Contenders (4.0)
Ballers,Consumers,P9: Final,columbia2023,"[-1, -1, -1]","[-1, -1, -1]",Contenders (4.0)
Ballers,Consumers,P9: Final,columbia2023,"[-1, -1, -1]","[-1, -1, -1]",Contenders (4.0)
