Team Name,Wins,Losses,Result,Division,Tournament
CRO rimmer season,9,0,1,Challenger,rotc-london
CRO Indi Partners,7,2,2,Challenger,rotc-london
Defected,7,2,3,Challenger,rotc-london
Nem Meticulous,7,2,4,Challenger,rotc-london
CRO wide ang/goh,6,2,5,Challenger,rotc-london
CRO Bombs Away!,7,1,5,Challenger,rotc-london
Sum(m)er Tim(e),6,4,7,Challenger,rotc-london
🅱️RO Colin too heavy,4,6,7,Challenger,rotc-london
Milk Men,7,2,9,Challenger,rotc-london
FCR Mesh Finders,6,4,10,Challenger,rotc-london
CRO Summer School,4,5,11,Challenger,rotc-london
Flick Merchants,5,4,11,Challenger,rotc-london
Till We Spike Again,4,5,13,Challenger,rotc-london
CRO save the fishies,4,3,14,Challenger,rotc-london
FCR Left-overs,3,5,14,Challenger,rotc-london
PB & J,4,5,14,Challenger,rotc-london
Balls Up,3,6,17,Challenger,rotc-london
Ang/Cheung,3,6,18,Challenger,rotc-london
NEM Rivals,2,6,19,Challenger,rotc-london
FREE SMOKE,2,6,19,Challenger,rotc-london
FCR 808 Chicken House,3,6,21,Challenger,rotc-london
Los Kid Cutty,2,7,22,Challenger,rotc-london
FCR Mesh Avoiders,0,8,23,Challenger,rotc-london
SWAT Team,0,8,23,Challenger,rotc-london
Jazzy Bluebs,10,0,1,Women's,rotc-london
Yang YANG!!!,8,2,2,Women's,rotc-london
The Manatees,7,3,3,Women's,rotc-london
Banana and Egg,5,5,4,Women's,rotc-london
I love spikeball!,3,5,5,Women's,rotc-london
Hit or Miss,2,5,6,Women's,rotc-london
CRO clean freaks,1,7,6,Women's,rotc-london
tbd,0,9,6,Women's,rotc-london
Bad News SPIKES,4,4,0,Advanced,rotc-london
Bleary Villagers,4,4,0,Advanced,rotc-london
Double Fault Demons,1,7,0,Advanced,rotc-london
Hit on 2,3,4,0,Advanced,rotc-london
Quality Control,7,1,0,Advanced,rotc-london
Spankballs,4,3,0,Advanced,rotc-london
Spike-a-delic,1,7,0,Advanced,rotc-london
Team Reach,6,2,0,Advanced,rotc-london
The Assassins,2,5,0,Advanced,rotc-london
The Yips,7,1,0,Advanced,rotc-london
Wow.,4,4,0,Advanced,rotc-london
WRC 🤝 WRC,3,4,0,Advanced,rotc-london
FCR What's Cookin?,3,4,0,Intermediate,rotc-london
Flying Hands,4,2,0,Intermediate,rotc-london
Front Street Boyz,5,2,0,Intermediate,rotc-london
Full sends only,4,3,0,Intermediate,rotc-london
Jim,0,5,0,Intermediate,rotc-london
Net Gains,2,5,0,Intermediate,rotc-london
SpikeLoo,3,5,0,Intermediate,rotc-london
Swinger Bringers,5,2,0,Intermediate,rotc-london
The Weewoos,0,5,0,Intermediate,rotc-london
Top 1 Percent,7,0,0,Intermediate,rotc-london
