Team Name,Wins,Losses,Result,Division,Tournament
CRO Fieldhousers,8,0,1,Challenger,rotcdurham
FCR BHAD Boys,7,2,2,Challenger,rotcdurham
CRO Pocket Aces,6,2,3,Challenger,rotcdurham
CRO nonp.,7,2,4,Challenger,rotcdurham
Yin&yang,6,3,5,Challenger,rotcdurham
Boomballinn,4,4,6,Challenger,rotcdurham
Flick Merchants,4,3,7,Challenger,rotcdurham
Milk Men,4,4,7,Challenger,rotcdurham
TJ’s Bar and Grill,7,2,9,Challenger,rotcdurham
FCR Bologna Serves,5,4,10,Challenger,rotcdurham
W'S ONLY,4,4,11,Challenger,rotcdurham
CRO Jungle Juice,6,3,11,Challenger,rotcdurham
Short + Sweet,5,4,13,Challenger,rotcdurham
FREE SMOKE,4,4,14,Challenger,rotcdurham
NEM Plutonium,3,5,14,Challenger,rotcdurham
Team Dryden,2,7,14,Challenger,rotcdurham
Trillium's Terrors,3,5,17,Challenger,rotcdurham
Ooze,2,6,18,Challenger,rotcdurham
NEM Tenacity,1,7,19,Challenger,rotcdurham
Magic touch,1,5,19,Challenger,rotcdurham
FURY: REVENGE TOUR 😈,1,7,21,Challenger,rotcdurham
CRO No Ore,0,7,22,Challenger,rotcdurham
BBQ bacon burger,0,7,0,Advanced/Intermediate,rotcdurham
Bleary Villagers,6,4,0,Advanced/Intermediate,rotcdurham
Front Street Boyz,4,4,0,Advanced/Intermediate,rotcdurham
Net Gains,3,7,0,Advanced/Intermediate,rotcdurham
Not Fast Just Furious,5,4,0,Advanced/Intermediate,rotcdurham
OwO („ᵕᴗᵕ„),9,0,0,Advanced/Intermediate,rotcdurham
Quality Control,7,1,0,Advanced/Intermediate,rotcdurham
Sarah and Wyatt,3,6,0,Advanced/Intermediate,rotcdurham
Scholastic Thomists,4,6,0,Advanced/Intermediate,rotcdurham
The Dogwater Brother’s,5,4,0,Advanced/Intermediate,rotcdurham
uwu ᕦ( ˘ᴗ˘ )ᕤ,7,2,0,Advanced/Intermediate,rotcdurham
Wet Water,4,6,0,Advanced/Intermediate,rotcdurham
Wondersisters,1,7,0,Advanced/Intermediate,rotcdurham
