Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Magic touch,Team Dryden,Round of 32,rotcdurham,"[19, 11]","[21, 15]",Challenger
Milk Men,Ooze,Round of 32,rotcdurham,"[15, 15]","[11, 11]",Challenger
Short + Sweet,FURY: REVENGE TOUR 😈,Round of 32,rotcdurham,"[17, 15]","[15, 10]",Challenger
CRO Fieldhousers,Team Dryden,Round of 16,rotcdurham,"[21, 21]","[13, 18]",Challenger
Yin&yang,TJ’s Bar and Grill,Round of 16,rotcdurham,"[1, 1]","[0, 0]",Challenger
CRO Jungle Juice,Milk Men,Round of 16,rotcdurham,"[22, 18, 19]","[20, 21, 21]",Challenger
Short + Sweet,CRO Pocket Aces,Round of 16,rotcdurham,"[17, 18]","[21, 21]",Challenger
CRO Fieldhousers,Yin&yang,Quarter-finals,rotcdurham,"[19, 21, 21]","[21, 15, 18]",Challenger
Milk Men,CRO Pocket Aces,Quarter-finals,rotcdurham,"[19, 15]","[21, 21]",Challenger
CRO Fieldhousers,CRO Pocket Aces,Semi-finals,rotcdurham,"[21, 21]","[17, 18]",Challenger
CRO nonp.,FCR BHAD Boys,Final,rotcdurham,"[21, 21, 13]","[23, 9, 21]",Challenger
CRO nonp.,Boomballinn,1st place,rotcdurham,"[21, 21]","[19, 17]",Challenger
Flick Merchants,FCR BHAD Boys,1st place,rotcdurham,"[12, 22, 18]","[21, 20, 21]",Challenger
CRO nonp.,NEM Plutonium,3rd place,rotcdurham,"[21, 21]","[18, 13]",Challenger
Boomballinn,W'S ONLY,3rd place,rotcdurham,"[21, 26]","[17, 24]",Challenger
Flick Merchants,FCR Bologna Serves,3rd place,rotcdurham,"[21, 21]","[15, 15]",Challenger
FREE SMOKE,FCR BHAD Boys,3rd place,rotcdurham,"[18, 16]","[21, 21]",Challenger
NEM Plutonium,Trillium's Terrors,Semi-finals,rotcdurham,"[12, 15, 15]","[15, 13, 9]",Challenger
FCR Bologna Serves,CRO No Ore,Semi-finals,rotcdurham,"[0, 1, 1]","[1, 0, 0]",Challenger
FREE SMOKE,NEM Tenacity,Semi-finals,rotcdurham,"[15, 15]","[13, 12]",Challenger
Milk Men,Yin&yang,P5: Semi-finals,rotcdurham,[18],[21],Challenger
Flick Merchants,Boomballinn,P5: Final,rotcdurham,[19],[21],Challenger
TJ’s Bar and Grill,Team Dryden,P9: Quarter-finals,rotcdurham,[21],[16],Challenger
Short + Sweet,CRO Jungle Juice,P9: Quarter-finals,rotcdurham,[18],[21],Challenger
TJ’s Bar and Grill,CRO Jungle Juice,P9: Semi-finals,rotcdurham,[21],[17],Challenger
W'S ONLY,FCR Bologna Serves,P9: Final,rotcdurham,[0],[1],Challenger
W'S ONLY,NEM Plutonium,9th place,rotcdurham,[21],[19],Challenger
FREE SMOKE,FCR Bologna Serves,9th place,rotcdurham,[0],[1],Challenger
Short + Sweet,Team Dryden,P13: Semi-finals,rotcdurham,[21],[14],Challenger
FREE SMOKE,NEM Plutonium,P13: Final,rotcdurham,[-1],[-1],Challenger
Ooze,FURY: REVENGE TOUR 😈,P17: Quarter-finals,rotcdurham,[23],[21],Challenger
Magic touch,Ooze,P17: Semi-finals,rotcdurham,[13],[21],Challenger
Trillium's Terrors,NEM Tenacity,P17: Final,rotcdurham,[21],[19],Challenger
CRO No Ore,NEM Tenacity,17th place,rotcdurham,[13],[15],Challenger
Wet Water,Sarah and Wyatt,Round of 16,rotcdurham,"[21, 21]","[14, 12]",Advanced/Intermediate
The Dogwater Brother’s,BBQ bacon burger,Round of 16,rotcdurham,"[21, 21]","[10, 7]",Advanced/Intermediate
Not Fast Just Furious,Scholastic Thomists,Round of 16,rotcdurham,"[21, 26]","[18, 24]",Advanced/Intermediate
Quality Control,Wet Water,Quarter-finals,rotcdurham,"[21, 21]","[10, 9]",Advanced/Intermediate
The Dogwater Brother’s,Not Fast Just Furious,Quarter-finals,rotcdurham,"[21, 19, 18]","[19, 21, 21]",Advanced/Intermediate
Quality Control,Not Fast Just Furious,Semi-finals,rotcdurham,"[21, 21]","[7, 8]",Advanced/Intermediate
OwO („ᵕᴗᵕ„),uwu ᕦ( ˘ᴗ˘ )ᕤ,Final,rotcdurham,"[26, 21]","[24, 19]",Advanced/Intermediate
OwO („ᵕᴗᵕ„),Bleary Villagers,1st place,rotcdurham,"[22, 21]","[20, 16]",Advanced/Intermediate
uwu ᕦ( ˘ᴗ˘ )ᕤ,Net Gains,1st place,rotcdurham,"[21, 21]","[12, 15]",Advanced/Intermediate
Bleary Villagers,Wondersisters,3rd place,rotcdurham,"[21, 21]","[5, 8]",Advanced/Intermediate
Front Street Boyz,Net Gains,3rd place,rotcdurham,"[18, 20, 16]","[21, 14, 21]",Advanced/Intermediate
The Dogwater Brother’s,Wet Water,P5: Semi-finals,rotcdurham,[21],[12],Advanced/Intermediate
Net Gains,Bleary Villagers,P5: Final,rotcdurham,[22],[24],Advanced/Intermediate
Scholastic Thomists,BBQ bacon burger,P9: Quarter-finals,rotcdurham,[21],[6],Advanced/Intermediate
Sarah and Wyatt,Scholastic Thomists,P9: Semi-finals,rotcdurham,[16],[21],Advanced/Intermediate
Wondersisters,Front Street Boyz,P9: Final,rotcdurham,[7],[21],Advanced/Intermediate
