Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Candy,NEMpire,Quarter-finals,rotcwindsor2023,"[17, -1]","[21, 0]",Challenger
U.S.Eh,NEMpire,Semi-finals,rotcwindsor2023,"[21, 21]","[11, 14]",Challenger
CAL,Milk Men,Final,rotcwindsor2023,"[21, 23]","[19, 21]",Challenger
CAL,FCR BHAD Boys,1st place,rotcwindsor2023,"[21, 21]","[17, 11]",Challenger
CRO guru goblins,Milk Men,1st place,rotcwindsor2023,"[18, 18]","[21, 21]",Challenger
CRO guru goblins,FCR BHAD Boys,P5: Final,rotcwindsor2023,[16],[21],Challenger
JQ^2,On Y Va,Quarter-finals,rotcwindsor2023,"[21, 0]","[15, -1]",Challenger
FCR Cold Cut Combo,JQ^2,Semi-finals,rotcwindsor2023,"[21, 19, 17]","[15, 21, 21]",Challenger
Cheat Right,Till We Spike Again,Final,rotcwindsor2023,"[15, 23]","[21, 25]",Challenger
The Utilities,Till We Spike Again,1st place,rotcwindsor2023,"[17, -1]","[21, 0]",Challenger
McRibs,Spike what?,Round of 16,rotcwindsor2023,"[15, 15]","[8, 9]",Intermediate
THE BOYS,McRibs,Quarter-finals,rotcwindsor2023,"[16, 15]","[14, 6]",Intermediate
Ball Enthusiasts,Grand master Olga,Quarter-finals,rotcwindsor2023,"[16, 21, 21]","[21, 15, 18]",Intermediate
THE BOYS,Ball Enthusiasts,Semi-finals,rotcwindsor2023,"[21, 21]","[15, 15]",Intermediate
FCR Sombrebros,Skinny Queens,Final,rotcwindsor2023,"[16, 18]","[21, 21]",Intermediate
FCR Sombrebros,Naaron,1st place,rotcwindsor2023,"[21, 21]","[16, 15]",Intermediate
Skinny Queens,The Steve and Joe show,1st place,rotcwindsor2023,"[25, 21]","[23, 16]",Intermediate
Grand master Olga,McRibs,P5: Semi-finals,rotcwindsor2023,"[-1, -1, -1]","[-1, -1, -1]",Intermediate
The Steve and Joe show,Naaron,P5: Final,rotcwindsor2023,"[-1, -1, -1]","[-1, -1, -1]",Intermediate
