Team Name,Wins,Losses,Result,Division,Tournament
The DAWGS,10,0,1,Challenger,rotcyork
Sensei & his grasshopper,9,1,2,Challenger,rotcyork
Full Swing,9,1,3,Challenger,rotcyork
BRO Big Dawgs,8,2,4,Challenger,rotcyork
Stinky Hinder 💩💨😵,5,5,5,Challenger,rotcyork
surprise!,5,5,5,Challenger,rotcyork
CRO Jungle Juice,4,5,7,Challenger,rotcyork
im the biggest bird 🦅,5,4,7,Challenger,rotcyork
GDM Early Investors,3,6,9,Challenger,rotcyork
FCR ICEBERGS,3,5,9,Challenger,rotcyork
FCR Bologna Serves,1,7,11,Challenger,rotcyork
Trippy Bois,3,4,12,Challenger,rotcyork
Exponentially Average,0,7,12,Challenger,rotcyork
Tripod Hinder,2,5,14,Challenger,rotcyork
W's Only,2,6,14,Challenger,rotcyork
Milk Men,1,7,14,Challenger,rotcyork
1-800-GOT-JUNK,11,0,1,Advanced,rotcyork
Underdawgs,6,5,2,Advanced,rotcyork
FCR WWJD,6,5,3,Advanced,rotcyork
Buzzcut szn,5,6,4,Advanced,rotcyork
Fresh Prince,6,5,5,Advanced,rotcyork
Scoot Troop,5,6,6,Advanced,rotcyork
Cheungle,5,5,7,Advanced,rotcyork
Gotta catch them balls,2,9,7,Advanced,rotcyork
Smash or Pass,2,7,9,Advanced,rotcyork
Spike-a-delic,8,0,1,Intermediate/Beginner,rotcyork
Sugar Babies,6,2,2,Intermediate/Beginner,rotcyork
The J Team,5,3,3,Intermediate/Beginner,rotcyork
Blitz,5,3,4,Intermediate/Beginner,rotcyork
Salted caramel ice caps,5,3,5,Intermediate/Beginner,rotcyork
SpikeLoo,4,3,6,Intermediate/Beginner,rotcyork
No Trick Ponies,2,5,6,Intermediate/Beginner,rotcyork
Core,3,5,6,Intermediate/Beginner,rotcyork
A team,4,4,9,Intermediate/Beginner,rotcyork
FCR VIPERS,3,5,10,Intermediate/Beginner,rotcyork
Fun Netters,1,6,11,Intermediate/Beginner,rotcyork
A&T Slayers,0,7,11,Intermediate/Beginner,rotcyork
Thick Thighs,0,0,0,Coed,rotcyork
