Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Beast Mode,Force-Toé,Round of 16,coupeestivale,"[1, 1]","[0, 0]",Premier 5.0+
The Fence,Beast Mode,Quarter-finals,coupeestivale,"[21, 21]","[15, 18]",Premier 5.0+
Mario & Donkey Kong,The Prince,Quarter-finals,coupeestivale,"[18, 18]","[21, 21]",Premier 5.0+
Mathieu/Pilon,Josh & Phil,Quarter-finals,coupeestivale,"[21, 21]","[4, 15]",Premier 5.0+
Gimme Paradise,Pole Position,Quarter-finals,coupeestivale,"[21, 15, 21]","[14, 21, 15]",Premier 5.0+
The Fence,The Prince,Semi-finals,coupeestivale,"[13, 21, 19]","[21, 17, 21]",Premier 5.0+
Mathieu/Pilon,Gimme Paradise,Semi-finals,coupeestivale,"[14, 21, 22]","[21, 14, 20]",Premier 5.0+
The Prince,Mathieu/Pilon,Final,coupeestivale,"[19, 14]","[21, 21]",Premier 5.0+
Gimme Paradise,The Fence,Third Place,coupeestivale,"[28, 19, 21]","[26, 21, 17]",Premier 5.0+
Mario & Donkey Kong,Beast Mode,P5: Semi-finals,coupeestivale,[0],[1],Premier 5.0+
Pole Position,Josh & Phil,P5: Semi-finals,coupeestivale,[21],[19],Premier 5.0+
Beast Mode,Pole Position,P5: Final,coupeestivale,[0],[1],Premier 5.0+
Josh & Phil,Mario & Donkey Kong,P5: Final,coupeestivale,[1],[0],Premier 5.0+
NON MERCI✌️,Les Coccinelles,Round of 32,coupeestivale,"[15, 15]","[11, 11]",Contender 4.5+
Net-flicks and Chill,Les Chacals,Round of 32,coupeestivale,"[15, 15]","[10, 10]",Contender 4.5+
Groovy Goofies,Juicy Dragons,Round of 32,coupeestivale,"[15, 15]","[13, 9]",Contender 4.5+
Beauty and the Beast,RPP district,Round of 32,coupeestivale,"[15, 15]","[8, 8]",Contender 4.5+
Falcon Punch,Qc Classic King Size,Round of 32,coupeestivale,"[15, 15]","[10, 10]",Contender 4.5+
Yoshi et Waluigi,Les chevilles molles,Round of 32,coupeestivale,"[15, 15]","[13, 11]",Contender 4.5+
Alerte UV,Les vidanges,Round of 32,coupeestivale,"[15, 13, 15]","[10, 15, 10]",Contender 4.5+
Short and Sweet,Les P'tits Loups,Round of 32,coupeestivale,"[20, 15, 13]","[18, 17, 15]",Contender 4.5+
Stinky Hinder 💩💨😵,Gosselin/Juteau,Round of 32,coupeestivale,"[15, 15]","[12, 8]",Contender 4.5+
No clutch,Fromage Cottage,Round of 32,coupeestivale,"[15, 15]","[13, 7]",Contender 4.5+
Les plongeurs,Tape dans l'dos,Round of 32,coupeestivale,"[15, 15]","[9, 13]",Contender 4.5+
Quick Hands,D'jo louis,Round of 32,coupeestivale,"[15, 15]","[7, 7]",Contender 4.5+
Goal Digger,The 9ers,Round of 32,coupeestivale,"[15, 20]","[12, 18]",Contender 4.5+
No gravity,NON MERCI✌️,Round of 16,coupeestivale,"[21, 21]","[15, 15]",Contender 4.5+
Net-flicks and Chill,Groovy Goofies,Round of 16,coupeestivale,"[12, 16]","[21, 21]",Contender 4.5+
Beauty and the Beast,Falcon Punch,Round of 16,coupeestivale,"[20, 16]","[22, 21]",Contender 4.5+
Yoshi et Waluigi,Alerte UV,Round of 16,coupeestivale,"[21, 21]","[15, 16]",Contender 4.5+
420 Spike,Les P'tits Loups,Round of 16,coupeestivale,"[21, 23, 21]","[15, 25, 11]",Contender 4.5+
Stinky Hinder 💩💨😵,No clutch,Round of 16,coupeestivale,"[21, 32]","[19, 30]",Contender 4.5+
Serverless,Les plongeurs,Round of 16,coupeestivale,"[16, 21, 23]","[21, 15, 21]",Contender 4.5+
Quick Hands,Goal Digger,Round of 16,coupeestivale,"[21, 21]","[16, 15]",Contender 4.5+
