Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Dad and Sun,Pruett/Bingham,Round of 32,long-island-classic-2023,"[21, 28, 33]","[23, 26, 31]",Premier (5.0+)
Project Roundnet,LL Rookies,Round of 32,long-island-classic-2023,"[21, 21]","[16, 16]",Premier (5.0+)
PBR Pickle Boys,Jake & Charles,Round of 32,long-island-classic-2023,"[19, 21, 18]","[21, 12, 21]",Premier (5.0+)
True,Pocket Rockets,Round of 32,long-island-classic-2023,"[21, 17, 20]","[12, 21, 22]",Premier (5.0+)
Fernandez/Kornfeld,Pickle Juice,Round of 32,long-island-classic-2023,"[21, 17, 21]","[17, 21, 15]",Premier (5.0+)
We Serve,Rowland’Sweeney,Round of 32,long-island-classic-2023,"[21, 21]","[18, 16]",Premier (5.0+)
Guachos,PBR ELBROS,Round of 32,long-island-classic-2023,"[21, 21]","[12, 16]",Premier (5.0+)
Free On Mach,Goodnow/Ulrich,Round of 32,long-island-classic-2023,"[17, 17]","[21, 21]",Premier (5.0+)
Dummy wide son,Driver’s License,Round of 32,long-island-classic-2023,"[18, 20]","[21, 22]",Premier (5.0+)
LL Mosh,Endurance,Round of 32,long-island-classic-2023,"[19, 19]","[21, 21]",Premier (5.0+)
RVA Spike,Dad and Sun,Round of 16,long-island-classic-2023,"[21, 21]","[18, 12]",Premier (5.0+)
Project Roundnet,Jake & Charles,Round of 16,long-island-classic-2023,"[21, 21]","[19, 16]",Premier (5.0+)
Sweet Nothings,Pocket Rockets,Round of 16,long-island-classic-2023,"[23, 21]","[21, 10]",Premier (5.0+)
White Lotus Roundnet,Fernandez/Kornfeld,Round of 16,long-island-classic-2023,"[14, 19]","[21, 21]",Premier (5.0+)
Lazy Bots,We Serve,Round of 16,long-island-classic-2023,"[21, 21]","[10, 11]",Premier (5.0+)
Guachos,Goodnow/Ulrich,Round of 16,long-island-classic-2023,"[21, 21]","[15, 15]",Premier (5.0+)
Jersey Boyz,Driver’s License,Round of 16,long-island-classic-2023,"[23, 21]","[21, 15]",Premier (5.0+)
