Team Name,Wins,Losses,Result,Division,Tournament
Insystem,10,0,1,Premier 5.0+,sts23portlandopen
Profit Boost,9,1,2,Premier 5.0+,sts23portlandopen
Sub Par,7,3,3,Premier 5.0+,sts23portlandopen
Faze up,6,4,4,Premier 5.0+,sts23portlandopen
Flashbang,4,5,5,Premier 5.0+,sts23portlandopen
BorderLine,5,3,5,Premier 5.0+,sts23portlandopen
We dont want to win,5,4,5,Premier 5.0+,sts23portlandopen
Wideman/Christmas,5,3,5,Premier 5.0+,sts23portlandopen
Copy & Paste,4,3,9,Premier 5.0+,sts23portlandopen
Bradshaw/Cho,3,5,9,Premier 5.0+,sts23portlandopen
The Rule of two,4,3,9,Premier 5.0+,sts23portlandopen
Dialed,3,5,9,Premier 5.0+,sts23portlandopen
Foote Fetish,4,4,9,Premier 5.0+,sts23portlandopen
TBR Michael Jeff Probst,4,3,9,Premier 5.0+,sts23portlandopen
Slaughter Bros,4,3,9,Premier 5.0+,sts23portlandopen
Fractal Spikes,5,2,9,Premier 5.0+,sts23portlandopen
Angry Goats 🐐,2,7,17,Premier 5.0+,sts23portlandopen
Never giving you my stickers,1,6,17,Premier 5.0+,sts23portlandopen
Baked Goods,0,7,17,Premier 5.0+,sts23portlandopen
Definitely High,1,7,17,Premier 5.0+,sts23portlandopen
American Spikers,0,8,17,Premier 5.0+,sts23portlandopen
Outside Smoke,8,0,1,Contender 4.5+,sts23portlandopen
ChaRizzma,7,1,2,Contender 4.5+,sts23portlandopen
Leftovers,8,1,3,Contender 4.5+,sts23portlandopen
Kyler/Ryker,5,4,4,Contender 4.5+,sts23portlandopen
Cloninger/Anderson,6,2,5,Contender 4.5+,sts23portlandopen
wraith and gibby,5,2,5,Contender 4.5+,sts23portlandopen
GCU FREAKS,5,2,5,Contender 4.5+,sts23portlandopen
PSR Board of Directors,5,3,5,Contender 4.5+,sts23portlandopen
Net worth,5,3,9,Contender 4.5+,sts23portlandopen
Cypress Boyz,3,5,9,Contender 4.5+,sts23portlandopen
Golden Gate Keepers,5,2,9,Contender 4.5+,sts23portlandopen
Segeon Deez Nuts,4,3,9,Contender 4.5+,sts23portlandopen
Hits and Giggles,3,4,13,Contender 4.5+,sts23portlandopen
KB24,4,3,13,Contender 4.5+,sts23portlandopen
Hot Tub 4Play,4,3,13,Contender 4.5+,sts23portlandopen
Hinder? I hardly know her!,3,4,13,Contender 4.5+,sts23portlandopen
C&C,4,5,17,Contender 4.5+,sts23portlandopen
PSR Camelot Crusaders,4,4,18,Contender 4.5+,sts23portlandopen
Sons of Thunder,3,4,19,Contender 4.5+,sts23portlandopen
The Lefties,2,6,19,Contender 4.5+,sts23portlandopen
On Top Soon,3,4,21,Contender 4.5+,sts23portlandopen
2 BROS,1,6,21,Contender 4.5+,sts23portlandopen
Mango Dolphins,1,6,21,Contender 4.5+,sts23portlandopen
Gaslighters,1,6,21,Contender 4.5+,sts23portlandopen
Father and Son,3,3,25,Contender 4.5+,sts23portlandopen
Daddies,1,5,25,Contender 4.5+,sts23portlandopen
PSR Emerald Wave,3,3,25,Contender 4.5+,sts23portlandopen
Za Griffin!,2,4,25,Contender 4.5+,sts23portlandopen
Thunder and Lightning,1,5,25,Contender 4.5+,sts23portlandopen
Dilly Willy,0,6,25,Contender 4.5+,sts23portlandopen
Belay on,7,2,1,Advanced 4.0,sts23portlandopen
You set me up,8,1,2,Advanced 4.0,sts23portlandopen
Dad Bod Squad,4,5,3,Advanced 4.0,sts23portlandopen
2 Bros 1 Ball,5,4,4,Advanced 4.0,sts23portlandopen
Milfs and Menthol,2,7,5,Advanced 4.0,sts23portlandopen
Registered Set Offender's,3,6,5,Advanced 4.0,sts23portlandopen
Biggie Small,2,6,7,Advanced 4.0,sts23portlandopen
Team Rocket,4,4,7,Advanced 4.0,sts23portlandopen
Veggie Tales,10,0,1,Women's Advanced 4.0+,sts23portlandopen
Sato/Lowe,7,3,2,Women's Advanced 4.0+,sts23portlandopen
Dinh/Gahley,5,5,3,Women's Advanced 4.0+,sts23portlandopen
$A ton of Chang$,3,8,4,Women's Advanced 4.0+,sts23portlandopen
Sister Act,0,9,5,Women's Advanced 4.0+,sts23portlandopen
Dawgs to 15,6,0,1,Intermediate 3.0,sts23portlandopen
Old Married Couple,4,2,2,Intermediate 3.0,sts23portlandopen
Smokin G and the Menno-Nets,5,1,3,Intermediate 3.0,sts23portlandopen
Tío and Daddy,3,3,4,Intermediate 3.0,sts23portlandopen
Actually Tennis Players,1,3,5,Intermediate 3.0,sts23portlandopen
Lumberjacks Baseball Club,0,4,5,Intermediate 3.0,sts23portlandopen
Net Flicks and Phils,1,3,5,Intermediate 3.0,sts23portlandopen
Hulk's Feet,0,4,5,Intermediate 3.0,sts23portlandopen
