Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Dialed,Definitely High,Round of 32,sts23portlandopen,"[21, 21]","[16, 16]",Premier 5.0+
We dont want to win,American Spikers,Round of 32,sts23portlandopen,"[1, 1]","[0, 0]",Premier 5.0+
Foote Fetish,Angry Goats 🐐,Round of 32,sts23portlandopen,"[21, 21]","[11, 15]",Premier 5.0+
Bradshaw/Cho,Never giving you my stickers,Round of 32,sts23portlandopen,"[21, 21]","[15, 18]",Premier 5.0+
Flashbang,Baked Goods,Round of 32,sts23portlandopen,"[21, 21]","[9, 19]",Premier 5.0+
Insystem,Dialed,Round of 16,sts23portlandopen,"[21, 21]","[9, 9]",Premier 5.0+
Wideman/Christmas,The Rule of two,Round of 16,sts23portlandopen,"[21, 21]","[18, 18]",Premier 5.0+
TBR Michael Jeff Probst,We dont want to win,Round of 16,sts23portlandopen,"[0, 0]","[1, 1]",Premier 5.0+
Sub Par,Foote Fetish,Round of 16,sts23portlandopen,"[20, 21, 21]","[22, 16, 15]",Premier 5.0+
Profit Boost,Bradshaw/Cho,Round of 16,sts23portlandopen,"[21, 21]","[16, 16]",Premier 5.0+
Copy & Paste,BorderLine,Round of 16,sts23portlandopen,"[21, 29, 19]","[18, 31, 21]",Premier 5.0+
Fractal Spikes,Flashbang,Round of 16,sts23portlandopen,"[14, 18]","[21, 21]",Premier 5.0+
Faze up,Slaughter Bros,Round of 16,sts23portlandopen,"[1, 0, 1]","[0, 1, 0]",Premier 5.0+
Insystem,Wideman/Christmas,Quarter-finals,sts23portlandopen,"[21, 21]","[16, 18]",Premier 5.0+
We dont want to win,Sub Par,Quarter-finals,sts23portlandopen,"[22, 7, 8]","[20, 21, 21]",Premier 5.0+
Profit Boost,BorderLine,Quarter-finals,sts23portlandopen,"[21, 21]","[17, 18]",Premier 5.0+
Flashbang,Faze up,Quarter-finals,sts23portlandopen,"[17, 15]","[21, 21]",Premier 5.0+
Insystem,Sub Par,Semi-finals,sts23portlandopen,"[30, 21]","[28, 15]",Premier 5.0+
