Team Name,Wins,Losses,Result,Division,Tournament
Rogue,9,0,1,Premier,thepeopleschampionship
Critical Hit,9,1,2,Premier,thepeopleschampionship
Swamp Donkeys,9,1,3,Premier,thepeopleschampionship
Pneumatic💥,8,2,4,Premier,thepeopleschampionship
Bart Harley Jarvis,6,1,5,Premier,thepeopleschampionship
Profit Boost,7,1,5,Premier,thepeopleschampionship
Kingdom Come,6,1,5,Premier,thepeopleschampionship
GFD Evasive Maneuvers,6,2,5,Premier,thepeopleschampionship
Skill Issue,5,3,9,Premier,thepeopleschampionship
GFD Birthday Sets (formerly GET CAKED),5,2,9,Premier,thepeopleschampionship
Those guys,5,2,9,Premier,thepeopleschampionship
GFD Shorter & Taller,4,3,9,Premier,thepeopleschampionship
Nebs,5,2,9,Premier,thepeopleschampionship
Daddy is always right,4,3,9,Premier,thepeopleschampionship
CRO Sam Sucks,4,3,9,Premier,thepeopleschampionship
Blind Spot,4,3,9,Premier,thepeopleschampionship
Wideman/ Kir,4,4,17,Premier,thepeopleschampionship
Primal,3,4,17,Premier,thepeopleschampionship
Basketball Purity,2,3,17,Premier,thepeopleschampionship
Beard/Broekema,2,5,17,Premier,thepeopleschampionship
CRO Fieldhousers,2,4,17,Premier,thepeopleschampionship
Glitch,2,4,17,Premier,thepeopleschampionship
Josh/Nick,2,4,17,Premier,thepeopleschampionship
FCR BHAD Boys,5,4,17,Premier,thepeopleschampionship
Munch,1,6,17,Premier,thepeopleschampionship
Super Awesome Spikers,3,5,17,Premier,thepeopleschampionship
Vote No on 1 🇺🇸🇺🇸🇺🇸,3,5,17,Premier,thepeopleschampionship
Daymare,1,5,17,Premier,thepeopleschampionship
Fashionably Late,2,5,17,Premier,thepeopleschampionship
We Move,3,5,17,Premier,thepeopleschampionship
CRO Double McTwist,2,5,17,Premier,thepeopleschampionship
Tickle Me Elmo,2,5,17,Premier,thepeopleschampionship
Cha Cha Slide,1,4,33,Premier,thepeopleschampionship
CRO u up?,0,6,33,Premier,thepeopleschampionship
Arledge/Hobart,2,4,33,Premier,thepeopleschampionship
Uossss,1,5,33,Premier,thepeopleschampionship
Mass on Sunday,0,6,33,Premier,thepeopleschampionship
Dry Heat >,0,5,33,Premier,thepeopleschampionship
CRO Dive Bar,0,6,33,Premier,thepeopleschampionship
YU-BAE,9,0,1,Womens,thepeopleschampionship
BIG BEAVERS,8,1,2,Womens,thepeopleschampionship
PRIME,5,4,3,Womens,thepeopleschampionship
DQ grill & chill,4,5,4,Womens,thepeopleschampionship
You are Kenough,3,4,5,Womens,thepeopleschampionship
Spicy,0,7,5,Womens,thepeopleschampionship
international love,2,5,5,Womens,thepeopleschampionship
Bisesi/Kuntz,1,6,5,Womens,thepeopleschampionship
Friedeman/U'Wren,9,0,1,Contender,thepeopleschampionship
Pocket Aces,8,1,2,Contender,thepeopleschampionship
Monty/Dhankani,7,1,3,Contender,thepeopleschampionship
Get Milked,7,2,4,Contender,thepeopleschampionship
Shed Bros,7,1,5,Contender,thepeopleschampionship
Uh Oh,5,2,5,Contender,thepeopleschampionship
Double or Nothing,6,1,5,Contender,thepeopleschampionship
Diddly Obama,5,2,5,Contender,thepeopleschampionship
Not athletic,6,3,9,Contender,thepeopleschampionship
Team Buzz,6,4,9,Contender,thepeopleschampionship
Scooby Smacks,6,3,9,Contender,thepeopleschampionship
FCR No Left,4,4,9,Contender,thepeopleschampionship
FCR ICEBERGS,5,3,9,Contender,thepeopleschampionship
Walang Kultura,4,3,9,Contender,thepeopleschampionship
Washed,3,4,9,Contender,thepeopleschampionship
TNT 🧨,4,4,9,Contender,thepeopleschampionship
Backhands for Breakfast,4,3,17,Contender,thepeopleschampionship
Hometown Advantage,2,3,17,Contender,thepeopleschampionship
White and brown,2,4,17,Contender,thepeopleschampionship
Cleveland spikes,1,4,17,Contender,thepeopleschampionship
Super Spike Bros,0,5,17,Contender,thepeopleschampionship
Hamburger no meat,1,4,17,Contender,thepeopleschampionship
The In-Laws,0,5,17,Contender,thepeopleschampionship
Zorbin,2,4,17,Contender,thepeopleschampionship
STYLEBENDERS,0,5,17,Contender,thepeopleschampionship
The Brits,1,4,17,Contender,thepeopleschampionship
Cave Talk,1,5,17,Contender,thepeopleschampionship
Soup Boys,1,6,17,Contender,thepeopleschampionship
Biggie & Smalls,0,6,17,Contender,thepeopleschampionship
Mango Cart,1,5,17,Contender,thepeopleschampionship
Lobstars,0,7,17,Contender,thepeopleschampionship
Cann-do,7,4,1,Intermediate,thepeopleschampionship
BALLSONYA,8,3,2,Intermediate,thepeopleschampionship
Senzu Beans,10,1,3,Intermediate,thepeopleschampionship
Chunky Monkey,8,3,4,Intermediate,thepeopleschampionship
Wonder Twins,5,4,5,Intermediate,thepeopleschampionship
Fourplay,2,8,5,Intermediate,thepeopleschampionship
Sultans of S.W.A.T.,3,6,5,Intermediate,thepeopleschampionship
Double Support,1,8,5,Intermediate,thepeopleschampionship
Voyager,1,8,9,Intermediate,thepeopleschampionship
