Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Super Awesome Spikers,Defected,Round of 32,windy-city-classic-23,"[23, 18]","[25, 21]",Premier(5.0)
MLR Nardo Wicks,G/T,Round of 32,windy-city-classic-23,"[21, 23]","[19, 21]",Premier(5.0)
Munch,Brace yourself,Round of 32,windy-city-classic-23,"[22, 21]","[20, 17]",Premier(5.0)
Wilkins Warriors,Jonald Treygan,Round of 32,windy-city-classic-23,"[21, 24]","[17, 22]",Premier(5.0)
Revised Banquet,Jack & the Beanstalk,Round of 32,windy-city-classic-23,"[21, 26]","[13, 24]",Premier(5.0)
Rogue,Defected,Round of 16,windy-city-classic-23,"[21, 21]","[11, 6]",Premier(5.0)
Cliff Notes,Transfer portal,Round of 16,windy-city-classic-23,"[21, 14, 21]","[19, 21, 18]",Premier(5.0)
The Diamond Dogs,MLR Nardo Wicks,Round of 16,windy-city-classic-23,"[21, 21]","[15, 15]",Premier(5.0)
CRO Fall Damage,Munch,Round of 16,windy-city-classic-23,"[21, 21]","[18, 15]",Premier(5.0)
GFD Shorter & Taller,Wilkins Warriors,Round of 16,windy-city-classic-23,"[21, 21]","[18, 17]",Premier(5.0)
Basketball Purity,Hive Mind,Round of 16,windy-city-classic-23,"[21, 16, 21]","[16, 21, 15]",Premier(5.0)
Nightmare on Sesame Street,Revised Banquet,Round of 16,windy-city-classic-23,"[23, 21]","[21, 19]",Premier(5.0)
Tube Steaks,Risky Business,Round of 16,windy-city-classic-23,"[21, 21]","[17, 16]",Premier(5.0)
Rogue,Cliff Notes,Quarter-finals,windy-city-classic-23,"[21, 21]","[8, 8]",Premier(5.0)
The Diamond Dogs,CRO Fall Damage,Quarter-finals,windy-city-classic-23,"[22, 21, 19]","[20, 23, 21]",Premier(5.0)
GFD Shorter & Taller,Basketball Purity,Quarter-finals,windy-city-classic-23,"[19, 15]","[21, 21]",Premier(5.0)
Nightmare on Sesame Street,Tube Steaks,Quarter-finals,windy-city-classic-23,"[19, 17]","[21, 21]",Premier(5.0)
Rogue,CRO Fall Damage,Semi-finals,windy-city-classic-23,"[21, 21]","[6, 11]",Premier(5.0)
Basketball Purity,Tube Steaks,Semi-finals,windy-city-classic-23,"[21, 16, 18]","[19, 21, 21]",Premier(5.0)
Rogue,Tube Steaks,Final,windy-city-classic-23,"[21, 21]","[12, 15]",Premier(5.0)
Basketball Purity,CRO Fall Damage,Third Place,windy-city-classic-23,"[12, 15]","[21, 21]",Premier(5.0)
The Diamond Dogs,Cliff Notes,P5: Semi-finals,windy-city-classic-23,"[15, -1]","[21, 0]",Premier(5.0)
Nightmare on Sesame Street,GFD Shorter & Taller,P5: Semi-finals,windy-city-classic-23,"[-1, -1, -1]","[-1, -1, -1]",Premier(5.0)
Transfer portal,Defected,P9: Quarter-finals,windy-city-classic-23,"[1, 0, 1]","[0, 1, 0]",Premier(5.0)
Munch,MLR Nardo Wicks,P9: Quarter-finals,windy-city-classic-23,"[-1, -1]","[0, 0]",Premier(5.0)
Hive Mind,Wilkins Warriors,P9: Quarter-finals,windy-city-classic-23,"[-1, -1]","[0, 0]",Premier(5.0)
Risky Business,Revised Banquet,P9: Quarter-finals,windy-city-classic-23,"[0, 1, 0]","[1, 0, 1]",Premier(5.0)
Transfer portal,MLR Nardo Wicks,P9: Semi-finals,windy-city-classic-23,"[-1, -1, -1]","[-1, -1, -1]",Premier(5.0)
Wilkins Warriors,Revised Banquet,P9: Semi-finals,windy-city-classic-23,"[15, 21, 21]","[21, 18, 19]",Premier(5.0)
Munch,Defected,P13: Semi-finals,windy-city-classic-23,"[-1, -1, -1]","[-1, -1, -1]",Premier(5.0)
Risky Business,Hive Mind,P13: Semi-finals,windy-city-classic-23,"[-1, -1, -1]","[-1, -1, -1]",Premier(5.0)
G/T,Brace yourself,P17: Quarter-finals,windy-city-classic-23,[19],[21],Premier(5.0)
Super Awesome Spikers,Brace yourself,P17: Semi-finals,windy-city-classic-23,"[-1, -1]","[0, 0]",Premier(5.0)
Jonald Treygan,Jack & the Beanstalk,P17: Semi-finals,windy-city-classic-23,"[-1, -1, -1]","[-1, -1, -1]",Premier(5.0)
Rival,Flintstone Gummies,Round of 16,windy-city-classic-23,"[21, 21]","[15, 17]",Women’s
Oh high Oh,Schmidt Storm,Round of 16,windy-city-classic-23,"[21, 21]","[5, 6]",Women’s
to jupiter,Split Ends,Round of 16,windy-city-classic-23,"[21, 21]","[3, 6]",Women’s
One Hit Wonder,$pikeballer$,Round of 16,windy-city-classic-23,"[21, 21]","[13, 17]",Women’s
