Team Name,Wins,Losses,Result,Division,Tournament
Cerebral Drizzle,7,0,1,Gold 5.0,tasr-houston-major
nap,7,1,2,Gold 5.0,tasr-houston-major
Single Clutch,6,1,3,Gold 5.0,tasr-houston-major
Heroes and Villains,5,2,0,Gold 5.0,tasr-houston-major
The WySpiker and the Wannabe,6,2,5,Gold 5.0,tasr-houston-major
chips and salsa,4,4,6,Gold 5.0,tasr-houston-major
Rice Cakes,4,4,7,Gold 5.0,tasr-houston-major
Dax and worse Dax,4,4,8,Gold 5.0,tasr-houston-major
Yucky,3,4,9,Gold 5.0,tasr-houston-major
Pink Lemonade,3,4,9,Gold 5.0,tasr-houston-major
Fajita Rita,2,5,11,Gold 5.0,tasr-houston-major
Toxic Babblers,1,5,11,Gold 5.0,tasr-houston-major
6 Paths,2,6,13,Gold 5.0,tasr-houston-major
Hash Slinging Slashers,1,6,14,Gold 5.0,tasr-houston-major
New Cut,0,7,15,Gold 5.0,tasr-houston-major
Lab rats,12,0,1,Advanced 4.0,tasr-houston-major
Flummoxed,10,2,2,Advanced 4.0,tasr-houston-major
SS's,8,3,3,Advanced 4.0,tasr-houston-major
SpikeMachas,6,5,0,Advanced 4.0,tasr-houston-major
Mexican Rice,6,6,5,Advanced 4.0,tasr-houston-major
Beginners Luck,7,5,6,Advanced 4.0,tasr-houston-major
Sons of Siemann,5,8,7,Advanced 4.0,tasr-houston-major
Woof Bark Dog,2,11,8,Advanced 4.0,tasr-houston-major
Joint Crackers,1,10,9,Advanced 4.0,tasr-houston-major
RAM,2,9,10,Advanced 4.0,tasr-houston-major
