Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Rice Cakes,Toxic Babblers,Round of 16,tasr-houston-major,"[21, 17, 24]","[18, 21, 22]",Gold 5.0
Heroes and Villains,Yucky,Round of 16,tasr-houston-major,"[1, 0, 1]","[0, 1, 0]",Gold 5.0
The WySpiker and the Wannabe,Hash Slinging Slashers,Round of 16,tasr-houston-major,"[1, 1]","[0, 0]",Gold 5.0
Cerebral Drizzle,Rice Cakes,Quarter-finals,tasr-houston-major,"[21, 21]","[17, 14]",Gold 5.0
Heroes and Villains,The WySpiker and the Wannabe,Quarter-finals,tasr-houston-major,"[21, 21]","[18, 15]",Gold 5.0
Cerebral Drizzle,Heroes and Villains,Semi-finals,tasr-houston-major,"[24, 16, 21]","[22, 21, 17]",Gold 5.0
nap,Single Clutch,Final,tasr-houston-major,"[17, 21, 21]","[21, 17, 19]",Gold 5.0
nap,chips and salsa,1st place,tasr-houston-major,"[21, 21]","[13, 10]",Gold 5.0
Single Clutch,Dax and worse Dax,1st place,tasr-houston-major,"[1, 1]","[0, 0]",Gold 5.0
nap,New Cut,3rd place,tasr-houston-major,"[1, 1]","[0, 0]",Gold 5.0
chips and salsa,Pink Lemonade,3rd place,tasr-houston-major,"[1, 0, 1]","[0, 1, 0]",Gold 5.0
Single Clutch,6 Paths,3rd place,tasr-houston-major,"[21, 21]","[16, 16]",Gold 5.0
Dax and worse Dax,Fajita Rita,3rd place,tasr-houston-major,"[1, 1]","[0, 0]",Gold 5.0
The WySpiker and the Wannabe,Rice Cakes,P5: Semi-finals,tasr-houston-major,"[1, 1]","[0, 0]",Gold 5.0
Dax and worse Dax,chips and salsa,P5: Final,tasr-houston-major,"[1, 0, 0]","[0, 1, 1]",Gold 5.0
Hash Slinging Slashers,Yucky,P9: Quarter-finals,tasr-houston-major,"[0, 0]","[1, 1]",Gold 5.0
Toxic Babblers,Yucky,P9: Semi-finals,tasr-houston-major,"[0, 0]","[1, 1]",Gold 5.0
Pink Lemonade,Fajita Rita,P9: Final,tasr-houston-major,"[1, 1]","[0, 0]",Gold 5.0
Pink Lemonade,New Cut,9th place,tasr-houston-major,"[1, 1]","[0, 0]",Gold 5.0
Fajita Rita,6 Paths,9th place,tasr-houston-major,"[21, 21]","[16, 19]",Gold 5.0
6 Paths,New Cut,P13: Final,tasr-houston-major,"[21, 21, 21]","[16, 16, 16]",Gold 5.0
6 Paths,New Cut,P13: Final,tasr-houston-major,"[21, 21, 21]","[16, 16, 16]",Gold 5.0
