,Name,Rating,Adjusted Rating,Games
635,ryan marino,158.7494167851717,158.7494167851717,181
240,gabriel finocchi,153.2077682047658,153.2077682047658,131
609,joe bondi,152.57009537836043,152.57009537836043,112
1642,patrik gilmore,163.166429502416,152.0194125314014,28
606,will picone,147.48347814962665,147.48347814962665,144
377,jamie douglas,155.30072946678152,147.16826925107836,29
1123,blake bosak,147.05286879430162,147.05286879430162,126
596,ryder rivadeneyra,149.50780364268647,146.9689419174205,37
327,julian krehle,147.6775604880154,146.59397956783323,43
597,grant laughlin,145.57626761441443,145.57626761441443,81
1071,xande plaisted,145.3829236239733,145.3829236239733,53
613,buddy hammon,144.6931046517157,144.6931046517157,61
626,matthew cole,143.7031301181545,143.7031301181545,132
341,ramon felix,144.60566402041184,143.56832299668133,42
1290,guillaume bilodeau,149.9648861725077,142.61710879419775,29
298,jakub visek,141.939714002552,141.939714002552,47
1576,emanuel rimle,148.7725921352623,141.60015211537078,29
1226,vincent mathieu,141.39659839532058,141.39659839532058,117
1124,etienne cote,141.22373352341512,141.22373352341512,147
599,max model,140.78673699227517,140.78673699227517,94
313,tom hullot,140.6028586186443,140.6028586186443,47
618,thomas hamilton,140.1672204971403,140.1672204971403,176
1144,paq clifford,140.14240496924347,140.14240496924347,48
837,west peterson,139.74451334909497,139.74451334909497,127
318,auxence clark,140.55621389740722,139.59058975699276,41
1053,emerson dean,139.53447557404448,139.53447557404448,91
600,rahul murthy,139.21827907361842,139.21827907361842,142
787,maciah aldrich,140.71580478216896,138.62781479333978,37
595,clark marshall,138.31798923677076,138.31798923677076,77
605,ryan gross,138.26815165242192,138.26815165242192,148
347,timo lorenzen,138.2661231346135,138.2661231346135,72
1464,kurt lannetti,138.2363699308645,138.2363699308645,62
834,polk denmark,137.97512271356885,137.97512271356885,79
677,justin barr,137.64708773146427,137.64708773146427,149
1027,colin tolentino,137.53674853939324,137.53674853939324,70
302,levi vandaele,137.09889581631455,137.09889581631455,61
361,esaja ekman,136.87386540368692,136.87386540368692,49
1132,eddy leung,137.52320093719914,136.7074791776948,45
820,noah luskus,136.68416105090938,136.68416105090938,132
1972,trey thompson,136.4481134310208,136.4481134310208,47
832,owen lippman,136.29914281976238,136.29914281976238,133
1141,samuel prince,136.23114366948596,136.23114366948596,57
1140,maxime prince,136.23114366948596,136.23114366948596,57
664,grant klapwijk,136.2159163748101,136.2159163748101,137
1060,justin shaytar,135.6575437698936,135.6575437698936,114
500,dawson morgan,135.65092463521896,135.65092463521896,155
1128,elie pilon,135.23449591618154,135.23449591618154,80
55,samuel buckman,135.21529685833806,135.21529685833806,57
642,caleb cummings,135.10152990510932,135.10152990510932,142
335,fredric hinkle,134.934542735437,134.934542735437,182
1570,eisentrager lukas,134.8400743188169,134.8400743188169,54
1571,paul siemer,134.8400743188169,134.8400743188169,54
815,peter lu,134.775317690369,134.775317690369,56
617,andrew christmas,134.73823988154635,134.73823988154635,63
1241,andrew raber,135.52436628055983,134.71699431963802,43
